areaCode,areaName,areaType,date,newDeaths28DaysByDeathDate
K02000001,United Kingdom,overview,2020-07-28,12
K02000001,United Kingdom,overview,2020-07-27,11
K02000001,United Kingdom,overview,2020-07-26,16
K02000001,United Kingdom,overview,2020-07-25,16
K02000001,United Kingdom,overview,2020-07-24,7
K02000001,United Kingdom,overview,2020-07-23,16
K02000001,United Kingdom,overview,2020-07-22,17
K02000001,United Kingdom,overview,2020-07-21,20
K02000001,United Kingdom,overview,2020-07-20,12
K02000001,United Kingdom,overview,2020-07-19,14
K02000001,United Kingdom,overview,2020-07-18,14
K02000001,United Kingdom,overview,2020-07-17,18
K02000001,United Kingdom,overview,2020-07-16,13
K02000001,United Kingdom,overview,2020-07-15,20
K02000001,United Kingdom,overview,2020-07-14,21
K02000001,United Kingdom,overview,2020-07-13,24
K02000001,United Kingdom,overview,2020-07-12,13
K02000001,United Kingdom,overview,2020-07-11,21
K02000001,United Kingdom,overview,2020-07-10,21
K02000001,United Kingdom,overview,2020-07-09,37
K02000001,United Kingdom,overview,2020-07-08,24
K02000001,United Kingdom,overview,2020-07-07,27
K02000001,United Kingdom,overview,2020-07-06,35
K02000001,United Kingdom,overview,2020-07-05,27
K02000001,United Kingdom,overview,2020-07-04,33
K02000001,United Kingdom,overview,2020-07-03,29
K02000001,United Kingdom,overview,2020-07-02,43
K02000001,United Kingdom,overview,2020-07-01,27
K02000001,United Kingdom,overview,2020-06-30,47
K02000001,United Kingdom,overview,2020-06-29,39
K02000001,United Kingdom,overview,2020-06-28,45
K02000001,United Kingdom,overview,2020-06-27,49
K02000001,United Kingdom,overview,2020-06-26,41
K02000001,United Kingdom,overview,2020-06-25,68
K02000001,United Kingdom,overview,2020-06-24,74
K02000001,United Kingdom,overview,2020-06-23,64
K02000001,United Kingdom,overview,2020-06-22,64
K02000001,United Kingdom,overview,2020-06-21,54
K02000001,United Kingdom,overview,2020-06-20,60
K02000001,United Kingdom,overview,2020-06-19,52
K02000001,United Kingdom,overview,2020-06-18,61
K02000001,United Kingdom,overview,2020-06-17,59
K02000001,United Kingdom,overview,2020-06-16,84
K02000001,United Kingdom,overview,2020-06-15,70
K02000001,United Kingdom,overview,2020-06-14,86
K02000001,United Kingdom,overview,2020-06-13,62
K02000001,United Kingdom,overview,2020-06-12,80
K02000001,United Kingdom,overview,2020-06-11,80
K02000001,United Kingdom,overview,2020-06-10,109
K02000001,United Kingdom,overview,2020-06-09,90
K02000001,United Kingdom,overview,2020-06-08,125
K02000001,United Kingdom,overview,2020-06-07,128
K02000001,United Kingdom,overview,2020-06-06,110
K02000001,United Kingdom,overview,2020-06-05,123
K02000001,United Kingdom,overview,2020-06-04,134
K02000001,United Kingdom,overview,2020-06-03,155
K02000001,United Kingdom,overview,2020-06-02,168
K02000001,United Kingdom,overview,2020-06-01,135
K02000001,United Kingdom,overview,2020-05-31,126
K02000001,United Kingdom,overview,2020-05-30,163
K02000001,United Kingdom,overview,2020-05-29,186
K02000001,United Kingdom,overview,2020-05-28,217
K02000001,United Kingdom,overview,2020-05-27,196
K02000001,United Kingdom,overview,2020-05-26,214
K02000001,United Kingdom,overview,2020-05-25,200
K02000001,United Kingdom,overview,2020-05-24,196
K02000001,United Kingdom,overview,2020-05-23,220
K02000001,United Kingdom,overview,2020-05-22,223
K02000001,United Kingdom,overview,2020-05-21,238
K02000001,United Kingdom,overview,2020-05-20,268
K02000001,United Kingdom,overview,2020-05-19,275
K02000001,United Kingdom,overview,2020-05-18,293
K02000001,United Kingdom,overview,2020-05-17,267
K02000001,United Kingdom,overview,2020-05-16,314
K02000001,United Kingdom,overview,2020-05-15,314
K02000001,United Kingdom,overview,2020-05-14,334
K02000001,United Kingdom,overview,2020-05-13,317
K02000001,United Kingdom,overview,2020-05-12,321
K02000001,United Kingdom,overview,2020-05-11,309
K02000001,United Kingdom,overview,2020-05-10,348
K02000001,United Kingdom,overview,2020-05-09,378
K02000001,United Kingdom,overview,2020-05-08,383
K02000001,United Kingdom,overview,2020-05-07,461
K02000001,United Kingdom,overview,2020-05-06,459
K02000001,United Kingdom,overview,2020-05-05,465
K02000001,United Kingdom,overview,2020-05-04,484
